artifact: .artifacts/ai-replay/fc-large40-overseer-persisted-2026-02-13.json
runId: ai_replay_2026-02-13T02-21-17-626Z_62e4598f
selected=40 scanned=240 evaluated=29 passed=3 failedJudge=26 failed=0 avg=62.45

index | caseId | status | pass | score | failureType | invariants | topFailureReason
01 | 9c6a674a-04a3-4e03-a01d-c3d7929fef6b:email | evaluated | false | 92 | draft_quality_error | - | [pricing_missing_answer] lead asked for pricing but draft provided no supported pricing amount (available: $791, $9500)
02 | 0828caec-8c4f-42bc-b57a-4cd78310c9dd:email | evaluated | false | 57 | draft_quality_error | - | Draft doesn’t anchor the meeting to the specific date from provided availability; could create ambiguity if multiple Mondays are in play.
03 | 6081e062-4e40-43cd-af0c-ee6786853911:email | evaluated | false | 60 | draft_quality_error | - | Lead asked what the plan is; draft answers but then adds a new qualification question instead of moving scheduling forward with available times.
04 | 1026cae8-a961-4f65-b4a7-5f01db7a1f5a:email | evaluated | false | 60 | draft_quality_error | slot_mismatch | Draft offered times in EST that do not match the provided availability (PST).
05 | eec31bf4-fd20-4108-8886-77effd72e901:email | skipped | - | - | - | - | Draft generation disabled for sentiment "Not Interested"
06 | a54521bf-a802-46f2-9d7a-6d3068e8fdfb:email | evaluated | false | 54 | draft_quality_error | - | Draft does not answer the pricing question directly despite extraction indicating a pricing answer is needed.
07 | 9b8ce1a1-c7fb-479a-a634-c3d56f5f3abe:email | evaluated | false | 52 | draft_quality_error | fabricated_link | Lead offered relative timing (tomorrow/next week) but no specific time or timezone; extraction flags needs_clarification=true.
08 | d8253629-8ab4-4887-b79b-21b99a76e324:email | evaluated | false | 60 | draft_quality_error | - | Draft proposed times that do not match the provided availability (3:00 PM EST Mon, Feb 16 and 11:00 AM EST Tue, Feb 17).
09 | 86d6afd3-c1c2-48b9-8469-86df6d5a3fc9:email | evaluated | false | 57 | draft_quality_error | - | Lead offered two possible times; draft assumes 11:30 without a clear confirmation question.
10 | 12284c4d-7d5f-46e0-868e-d7ef552cc660:email | evaluated | false | 60 | draft_quality_error | slot_mismatch,date_mismatch | Proposed times in the draft do not match the provided availability (and one date differs).
11 | 4722b352-3b87-48d2-be77-c7f77d0090ae:email | evaluated | false | 55 | draft_quality_error | - | The link provided in the draft is a Calendly scheduling page, not an information page; the lead explicitly asked for info they can’t find online.
12 | acd5f702-e64f-4bed-95b1-d80fdd02cfd3:email | evaluated | false | 60 | draft_quality_error | date_mismatch | Proposed times in the draft (Fri, Feb 13 and Tue, Feb 17 11:30 AM) do not match the provided availability.
13 | 48f7a07f-9719-4327-ab32-ab98e77b448a:email | evaluated | true | 92 | - | - | -
14 | 56e0734e-9a52-40b6-930b-3676ee433642:email | evaluated | false | 55 | draft_quality_error | - | Draft proposes meeting times that do not match the provided availability.
